comp_id,employee_id,effective_date,salary,change_reason
1,1,2022-01-01,149700.0,New Hire
2,2,2022-01-01,97600.0,New Hire
3,3,2022-01-01,123700.0,New Hire
4,4,2022-01-01,100000.0,New Hire
5,5,2022-01-01,154800.0,New Hire
6,6,2022-01-01,105600.0,New Hire
7,7,2022-01-01,123700.0,New Hire
8,8,2022-01-01,101600.0,New Hire
9,9,2022-01-01,123200.0,New Hire
10,10,2022-01-01,99800.0,New Hire
11,11,2022-01-01,131600.0,New Hire
12,12,2022-01-01,97500.0,New Hire
13,13,2022-01-01,134800.0,New Hire
14,14,2022-01-01,118400.0,New Hire
15,15,2022-01-01,149200.0,New Hire
16,16,2022-01-01,119700.0,New Hire
17,17,2022-01-01,152900.0,New Hire
18,18,2022-01-01,96700.0,New Hire
19,19,2022-01-01,155400.0,New Hire
20,20,2022-01-01,98500.0,New Hire
21,21,2022-01-01,136000.0,New Hire
22,22,2022-01-01,107300.0,New Hire
23,23,2022-01-01,126400.0,New Hire
24,24,2022-01-01,104500.0,New Hire
25,25,2022-01-01,148800.0,New Hire
26,26,2022-01-01,111000.0,New Hire
27,27,2022-01-01,120100.0,New Hire
28,28,2022-01-01,114000.0,New Hire
29,29,2022-01-01,145600.0,New Hire
30,30,2022-01-01,114100.0,New Hire
31,31,2022-01-01,124500.0,New Hire
32,32,2022-01-01,96400.0,New Hire
33,33,2022-01-01,122800.0,New Hire
34,34,2022-01-01,111500.0,New Hire
35,35,2022-01-01,157200.0,New Hire
36,36,2022-01-01,102800.0,New Hire
37,37,2022-01-01,129900.0,New Hire
38,38,2022-01-01,108800.0,New Hire
39,39,2022-01-01,53200.0,New Hire
40,40,2022-01-01,70900.0,New Hire
41,41,2022-01-01,66200.0,New Hire
42,42,2022-01-01,81300.0,New Hire
43,43,2022-01-01,47500.0,New Hire
44,44,2022-01-01,50500.0,New Hire
45,45,2022-01-01,99700.0,New Hire
46,46,2022-01-01,45400.0,New Hire
47,47,2022-01-01,76400.0,New Hire
48,48,2022-01-01,73200.0,New Hire
49,49,2022-01-01,44400.0,New Hire
50,50,2022-01-01,49700.0,New Hire
51,51,2022-01-01,87400.0,New Hire
52,52,2022-01-01,79300.0,New Hire
53,53,2022-01-01,84400.0,New Hire
54,54,2022-01-01,45700.0,New Hire
55,55,2022-01-01,90800.0,New Hire
56,56,2022-01-01,117200.0,New Hire
57,57,2022-01-01,86600.0,New Hire
58,58,2022-01-01,110900.0,New Hire
59,59,2022-01-01,51600.0,New Hire
60,60,2022-01-01,42500.0,New Hire
61,61,2022-01-01,53700.0,New Hire
62,62,2022-01-01,68300.0,New Hire
63,63,2022-01-01,99100.0,New Hire
64,64,2022-01-01,93400.0,New Hire
65,65,2022-01-01,48100.0,New Hire
66,66,2022-01-01,55400.0,New Hire
67,67,2022-01-01,50300.0,New Hire
68,68,2022-01-01,69900.0,New Hire
69,69,2022-01-01,62400.0,New Hire
70,70,2022-01-01,42600.0,New Hire
