survey_id,employee_id,survey_wave,survey_date,engagement_score,satisfaction_score
1,1,2022-Spring,2022-04-13,6.7,4.6
2,3,2022-Spring,2022-04-01,5.5,3.7
3,5,2022-Spring,2022-04-05,4.4,5.0
4,8,2022-Spring,2022-04-23,6.5,7.2
5,10,2022-Spring,2022-04-07,8.8,6.7
6,12,2022-Spring,2022-04-04,8.4,4.6
7,13,2022-Spring,2022-04-08,6.1,8.4
8,14,2022-Spring,2022-04-04,8.8,6.4
9,15,2022-Spring,2022-04-21,6.7,4.6
10,16,2022-Spring,2022-04-14,3.5,5.4
11,17,2022-Spring,2022-04-06,7.7,3.6
12,19,2022-Spring,2022-04-17,6.9,8.3
13,20,2022-Spring,2022-04-01,6.0,6.2
14,21,2022-Spring,2022-04-12,5.1,3.1
15,23,2022-Spring,2022-04-24,7.6,3.7
16,24,2022-Spring,2022-04-25,5.6,3.3
17,25,2022-Spring,2022-04-27,7.5,8.6
18,28,2022-Spring,2022-04-06,8.6,3.4
19,30,2022-Spring,2022-04-10,4.8,8.4
20,32,2022-Spring,2022-04-10,6.7,9.7
21,33,2022-Spring,2022-04-09,3.7,7.4
22,34,2022-Spring,2022-04-28,8.4,8.9
23,35,2022-Spring,2022-04-04,8.5,6.0
24,36,2022-Spring,2022-04-15,9.1,5.6
25,38,2022-Spring,2022-04-16,5.8,8.4
26,39,2022-Spring,2022-04-03,8.1,3.5
27,40,2022-Spring,2022-04-27,4.6,5.0
28,41,2022-Spring,2022-04-11,7.7,5.1
29,42,2022-Spring,2022-04-14,4.5,6.0
30,43,2022-Spring,2022-04-24,9.0,5.4
31,45,2022-Spring,2022-04-26,9.5,3.5
32,46,2022-Spring,2022-04-12,6.7,8.1
33,47,2022-Spring,2022-04-01,4.4,7.1
34,49,2022-Spring,2022-04-03,5.0,7.4
35,50,2022-Spring,2022-04-19,3.7,4.0
36,51,2022-Spring,2022-04-12,5.8,8.2
37,52,2022-Spring,2022-04-17,5.8,5.1
38,53,2022-Spring,2022-04-04,3.7,4.3
39,54,2022-Spring,2022-04-30,7.0,4.8
40,55,2022-Spring,2022-04-15,4.9,7.2
41,59,2022-Spring,2022-04-05,8.9,6.1
42,61,2022-Spring,2022-04-03,8.6,9.6
43,63,2022-Spring,2022-04-23,3.9,6.7
44,68,2022-Spring,2022-04-26,5.8,4.5
45,71,2022-Spring,2022-04-16,3.7,6.8
46,72,2022-Spring,2022-04-26,9.7,3.9
47,75,2022-Spring,2022-04-13,9.8,7.9
48,76,2022-Spring,2022-04-25,6.1,6.9
49,77,2022-Spring,2022-04-11,7.5,6.1
50,79,2022-Spring,2022-04-29,8.7,6.7
51,80,2022-Spring,2022-04-25,9.6,5.9
52,82,2022-Spring,2022-04-04,6.8,5.1
53,83,2022-Spring,2022-04-30,8.0,5.4
54,88,2022-Spring,2022-04-21,9.5,4.9
55,89,2022-Spring,2022-04-20,6.9,6.4
56,90,2022-Spring,2022-04-19,4.5,7.5
57,92,2022-Spring,2022-04-27,9.3,3.3
58,94,2022-Spring,2022-04-21,8.4,4.8
59,95,2022-Spring,2022-04-19,6.1,7.3
60,96,2022-Spring,2022-04-21,6.9,7.4
61,97,2022-Spring,2022-04-08,8.6,7.7
62,98,2022-Spring,2022-04-03,7.8,4.1
63,99,2022-Spring,2022-04-15,4.8,7.1
64,100,2022-Spring,2022-04-23,5.5,9.7
65,101,2022-Spring,2022-04-13,4.3,5.5
66,102,2022-Spring,2022-04-11,5.0,3.8
67,103,2022-Spring,2022-04-05,4.1,5.0
68,104,2022-Spring,2022-04-20,6.1,9.5
69,109,2022-Spring,2022-04-06,6.6,6.5
70,110,2022-Spring,2022-04-10,6.6,3.6
71,111,2022-Spring,2022-04-15,9.6,4.5
72,112,2022-Spring,2022-04-02,5.3,7.1
73,114,2022-Spring,2022-04-10,6.9,8.8
74,115,2022-Spring,2022-04-29,5.2,5.5
75,116,2022-Spring,2022-04-02,6.0,6.9
76,117,2022-Spring,2022-04-18,5.3,5.6
77,118,2022-Spring,2022-04-18,5.3,9.7
78,120,2022-Spring,2022-04-04,6.0,8.4
79,121,2022-Spring,2022-04-12,8.3,4.4
80,122,2022-Spring,2022-04-17,3.8,3.3
81,125,2022-Spring,2022-04-05,7.3,6.5
82,126,2022-Spring,2022-04-20,5.5,5.7
83,127,2022-Spring,2022-04-27,5.4,5.3
84,129,2022-Spring,2022-04-23,7.0,6.2
85,130,2022-Spring,2022-04-11,7.7,9.7
86,131,2022-Spring,2022-04-26,9.2,8.9
87,132,2022-Spring,2022-04-20,6.5,9.6
88,135,2022-Spring,2022-04-24,3.8,6.3
89,136,2022-Spring,2022-04-24,7.4,8.7
90,137,2022-Spring,2022-04-22,5.0,6.9
91,139,2022-Spring,2022-04-15,5.5,4.0
92,141,2022-Spring,2022-04-25,7.4,6.2
93,145,2022-Spring,2022-04-18,5.5,7.5
94,146,2022-Spring,2022-04-11,9.5,6.1
95,2,2022-Fall,2022-10-08,9.2,3.6
96,3,2022-Fall,2022-10-18,6.1,4.3
97,7,2022-Fall,2022-10-04,6.8,5.6
98,8,2022-Fall,2022-10-26,5.5,5.5
99,9,2022-Fall,2022-10-21,7.2,4.8
100,10,2022-Fall,2022-10-19,5.8,4.9
101,13,2022-Fall,2022-10-26,7.0,4.2
102,14,2022-Fall,2022-10-16,5.1,5.1
103,15,2022-Fall,2022-10-23,6.0,3.9
104,17,2022-Fall,2022-10-08,6.3,7.8
105,18,2022-Fall,2022-10-07,6.7,8.3
106,20,2022-Fall,2022-10-22,8.0,4.1
107,22,2022-Fall,2022-10-03,8.7,6.2
108,23,2022-Fall,2022-10-03,3.9,4.5
109,24,2022-Fall,2022-10-02,8.1,9.3
110,25,2022-Fall,2022-10-21,6.8,7.8
111,26,2022-Fall,2022-10-31,8.4,4.2
112,27,2022-Fall,2022-10-01,4.8,7.5
113,29,2022-Fall,2022-10-02,8.4,6.5
114,31,2022-Fall,2022-10-22,3.7,4.6
115,32,2022-Fall,2022-10-06,4.0,4.9
116,33,2022-Fall,2022-10-22,6.0,7.0
117,34,2022-Fall,2022-10-24,7.9,9.3
118,35,2022-Fall,2022-10-24,8.7,9.2
119,36,2022-Fall,2022-10-31,8.6,4.5
120,39,2022-Fall,2022-10-13,7.1,4.8
121,40,2022-Fall,2022-10-04,7.0,6.4
122,41,2022-Fall,2022-10-04,8.6,9.5
123,44,2022-Fall,2022-10-23,6.3,5.6
124,45,2022-Fall,2022-10-08,8.3,9.5
125,46,2022-Fall,2022-10-15,9.1,8.9
126,47,2022-Fall,2022-10-09,3.9,7.3
127,49,2022-Fall,2022-10-08,8.5,5.8
128,50,2022-Fall,2022-10-18,3.6,8.7
129,51,2022-Fall,2022-10-03,6.0,8.1
130,52,2022-Fall,2022-10-18,9.4,6.2
131,53,2022-Fall,2022-10-29,7.1,4.2
132,58,2022-Fall,2022-10-24,4.8,8.0
133,60,2022-Fall,2022-10-07,8.8,8.7
134,61,2022-Fall,2022-10-25,4.2,9.3
135,62,2022-Fall,2022-10-22,6.6,3.0
136,66,2022-Fall,2022-10-11,6.6,9.7
137,69,2022-Fall,2022-10-25,9.3,4.9
138,70,2022-Fall,2022-10-19,4.3,6.6
139,71,2022-Fall,2022-10-31,6.9,6.4
140,72,2022-Fall,2022-10-22,8.4,6.1
141,73,2022-Fall,2022-10-17,6.4,7.7
142,75,2022-Fall,2022-10-07,5.9,3.7
143,76,2022-Fall,2022-10-28,5.1,6.7
144,77,2022-Fall,2022-10-16,9.5,5.3
145,78,2022-Fall,2022-10-14,4.8,7.8
146,79,2022-Fall,2022-10-28,6.0,6.1
147,80,2022-Fall,2022-10-19,7.8,8.5
148,83,2022-Fall,2022-10-28,5.9,4.0
149,86,2022-Fall,2022-10-26,3.6,5.9
150,87,2022-Fall,2022-10-29,8.9,6.5
151,90,2022-Fall,2022-10-18,8.9,3.3
152,91,2022-Fall,2022-10-06,3.9,8.5
153,92,2022-Fall,2022-10-21,4.1,8.1
154,93,2022-Fall,2022-10-12,7.0,9.3
155,94,2022-Fall,2022-10-01,6.1,5.4
156,95,2022-Fall,2022-10-20,4.8,6.9
