hire_id,requisition_id,employee_id,offer_date,start_date,source_channel,signing_bonus
1,1,121,2022-02-22,2022-02-26,Agency,0
2,2,122,2022-01-31,2022-02-10,Employee Referral,1500
3,3,123,2022-01-30,2022-02-02,Agency,5000
4,4,124,2022-02-10,2022-02-19,Career Site,5000
5,5,125,2022-01-24,2022-02-03,Employee Referral,0
6,6,126,2022-03-15,2022-03-25,Employee Referral,5000
7,7,127,2022-02-24,2022-03-02,Career Site,5000
8,8,128,2022-03-13,2022-03-18,Job Board,1500
9,9,129,2022-03-04,2022-03-10,LinkedIn,2500
10,10,130,2022-03-26,2022-03-29,LinkedIn,0
11,11,131,2022-03-18,2022-03-27,Job Board,1500
12,12,132,2022-03-19,2022-03-28,Employee Referral,1500
13,13,133,2022-03-22,2022-03-26,LinkedIn,1500
14,14,134,2022-03-21,2022-03-30,LinkedIn,5000
15,15,135,2022-03-05,2022-03-11,Job Board,5000
16,16,136,2022-04-16,2022-04-26,Job Board,2500
17,17,137,2022-03-29,2022-04-06,Job Board,0
18,18,138,2022-04-10,2022-04-18,Agency,0
19,19,139,2022-03-29,2022-04-05,Career Site,2500
20,20,140,2022-04-23,2022-04-26,Employee Referral,0
21,21,141,2022-04-03,2022-04-07,Agency,2500
22,22,142,2022-04-22,2022-04-27,LinkedIn,5000
23,23,143,2022-04-16,2022-04-26,Job Board,0
24,24,144,2022-03-31,2022-04-10,Career Site,0
25,25,145,2022-04-09,2022-04-17,Job Board,2500
26,26,146,2022-04-14,2022-04-23,LinkedIn,0
27,27,147,2022-05-05,2022-05-12,LinkedIn,0
28,28,148,2022-05-14,2022-05-23,Job Board,1500
29,29,149,2022-05-21,2022-05-31,Job Board,0
30,30,150,2022-05-12,2022-05-18,LinkedIn,5000
31,31,151,2022-04-29,2022-05-04,Career Site,1500
32,32,152,2022-05-25,2022-05-29,LinkedIn,5000
33,33,153,2022-05-09,2022-05-18,Career Site,1500
34,34,154,2022-05-16,2022-05-24,Career Site,0
35,35,155,2022-05-11,2022-05-21,LinkedIn,5000
36,36,156,2022-04-27,2022-05-06,Job Board,1500
37,37,157,2022-04-24,2022-05-03,LinkedIn,0
38,38,158,2022-05-06,2022-05-09,Job Board,5000
39,39,159,2022-05-05,2022-05-10,LinkedIn,1500
40,40,160,2022-05-18,2022-05-24,Agency,0
41,41,161,2022-05-14,2022-05-20,LinkedIn,2500
42,42,162,2022-05-03,2022-05-06,Employee Referral,1500
43,43,163,2022-05-11,2022-05-14,LinkedIn,5000
44,44,164,2022-05-25,2022-06-03,Job Board,0
45,45,165,2022-06-05,2022-06-13,Job Board,0
46,46,166,2022-06-09,2022-06-18,Employee Referral,2500
47,47,167,2022-06-05,2022-06-08,Employee Referral,0
48,48,168,2022-05-29,2022-06-04,Employee Referral,2500
49,49,169,2022-06-20,2022-06-28,Employee Referral,0
50,50,170,2022-05-31,2022-06-05,Agency,5000
51,51,171,2022-06-09,2022-06-18,LinkedIn,0
52,52,172,2022-06-07,2022-06-16,Employee Referral,2500
53,53,173,2022-06-07,2022-06-13,Employee Referral,0
54,54,174,2022-06-19,2022-06-22,LinkedIn,0
55,55,175,2022-06-17,2022-06-24,Employee Referral,1500
56,56,176,2022-06-13,2022-06-21,Employee Referral,0
57,57,177,2022-07-17,2022-07-22,Job Board,1500
58,58,178,2022-07-06,2022-07-15,Employee Referral,0
59,59,179,2022-07-01,2022-07-08,LinkedIn,0
60,60,180,2022-07-13,2022-07-17,LinkedIn,2500
61,61,181,2022-06-26,2022-07-01,Employee Referral,1500
62,62,182,2022-07-16,2022-07-25,Employee Referral,1500
63,63,183,2022-06-28,2022-07-03,Career Site,2500
64,64,184,2022-07-15,2022-07-19,Career Site,1500
65,65,185,2022-06-24,2022-07-02,Employee Referral,2500
66,66,186,2022-07-24,2022-07-27,Job Board,0
67,67,187,2022-07-06,2022-07-09,Employee Referral,1500
68,68,188,2022-07-03,2022-07-06,LinkedIn,0
69,69,189,2022-06-22,2022-07-01,Employee Referral,0
70,70,190,2022-07-09,2022-07-14,Career Site,0
71,71,191,2022-06-24,2022-07-02,Employee Referral,0
72,72,192,2022-07-20,2022-07-26,Job Board,0
73,73,193,2022-07-05,2022-07-14,Job Board,5000
74,74,194,2022-08-19,2022-08-23,Agency,2500
75,75,195,2022-08-06,2022-08-14,Job Board,0
76,76,196,2022-07-29,2022-08-08,LinkedIn,0
77,77,197,2022-08-11,2022-08-18,LinkedIn,5000
78,78,198,2022-07-26,2022-08-02,Employee Referral,0
79,79,199,2022-08-01,2022-08-06,Agency,0
80,80,200,2022-08-23,2022-08-27,Career Site,2500
81,81,201,2022-08-22,2022-08-30,LinkedIn,0
82,82,202,2022-08-07,2022-08-15,Employee Referral,0
83,83,203,2022-07-30,2022-08-09,Employee Referral,0
84,84,204,2022-08-04,2022-08-13,Job Board,5000
85,85,205,2022-08-12,2022-08-18,LinkedIn,0
86,86,206,2022-08-19,2022-08-25,LinkedIn,0
87,87,207,2022-08-21,2022-08-26,Employee Referral,0
88,88,208,2022-08-05,2022-08-11,LinkedIn,1500
89,89,209,2022-07-31,2022-08-06,LinkedIn,0
90,90,210,2022-07-29,2022-08-06,Job Board,0
91,91,211,2022-08-21,2022-08-31,Career Site,5000
92,92,212,2022-08-16,2022-08-23,LinkedIn,0
93,93,213,2022-07-26,2022-08-01,LinkedIn,5000
94,94,214,2022-08-26,2022-08-30,Job Board,5000
95,95,215,2022-08-20,2022-08-24,LinkedIn,5000
96,96,216,2022-09-15,2022-09-19,LinkedIn,0
97,97,217,2022-09-26,2022-09-29,Agency,1500
98,98,218,2022-08-30,2022-09-06,Employee Referral,5000
99,99,219,2022-09-04,2022-09-08,LinkedIn,0
100,100,220,2022-09-17,2022-09-21,Employee Referral,0
101,101,221,2022-09-06,2022-09-16,Employee Referral,0
102,102,222,2022-09-06,2022-09-15,Job Board,2500
103,103,223,2022-08-29,2022-09-02,Employee Referral,1500
104,104,224,2022-09-17,2022-09-23,Career Site,0
105,105,225,2022-08-30,2022-09-03,LinkedIn,0
106,106,226,2022-09-04,2022-09-13,Employee Referral,0
107,107,227,2022-08-27,2022-09-05,Agency,0
108,108,228,2022-09-07,2022-09-16,Job Board,0
109,109,229,2022-09-22,2022-09-29,LinkedIn,0
110,110,230,2022-09-08,2022-09-16,Job Board,0
111,111,231,2022-09-17,2022-09-20,Agency,2500
112,112,232,2022-08-28,2022-09-03,Agency,0
113,113,233,2022-09-27,2022-09-30,Career Site,0
114,114,234,2022-10-14,2022-10-21,LinkedIn,5000
115,115,235,2022-10-10,2022-10-19,Job Board,0
116,116,236,2022-09-30,2022-10-05,Employee Referral,5000
117,117,237,2022-10-24,2022-10-27,Agency,2500
118,118,238,2022-10-19,2022-10-25,Employee Referral,2500
