requisition_id,department_id,job_title,opened_date,closed_date,status,source_channel
1,18,"Lead, Talent Acquisition",2022-01-22,2022-02-26,Filled,Agency
2,5,Senior Product Management Specialist,2022-01-06,2022-02-10,Filled,Employee Referral
3,3,"Manager, Platform",2021-12-03,2022-02-02,Filled,Agency
4,15,Junior IT Specialist,2022-01-21,2022-02-19,Filled,Career Site
5,15,Mid IT Specialist,2021-12-26,2022-02-03,Filled,Employee Referral
6,7,Mid Enterprise Sales Specialist,2022-02-23,2022-03-25,Filled,Employee Referral
7,8,Junior SMB Sales Specialist,2022-02-11,2022-03-02,Filled,Career Site
8,4,Junior QA Specialist,2022-02-21,2022-03-18,Filled,Job Board
9,18,Mid Talent Acquisition Specialist,2022-01-16,2022-03-10,Filled,LinkedIn
10,9,Junior Sales Development Specialist,2022-02-07,2022-03-29,Filled,LinkedIn
11,13,Senior Onboarding Specialist,2022-02-02,2022-03-27,Filled,Job Board
12,18,Junior Talent Acquisition Specialist,2022-01-22,2022-03-28,Filled,Employee Referral
13,19,"Lead, HR Business Partners",2022-01-30,2022-03-26,Filled,LinkedIn
14,3,Mid Platform Specialist,2022-02-24,2022-03-30,Filled,LinkedIn
15,3,"Lead, Platform",2022-02-19,2022-03-11,Filled,Job Board
16,8,"Manager, SMB Sales",2022-03-24,2022-04-26,Filled,Job Board
17,9,Mid Sales Development Specialist,2022-03-16,2022-04-06,Filled,Job Board
18,7,Senior Enterprise Sales Specialist,2022-02-21,2022-04-18,Filled,Agency
19,9,"Manager, Sales Development",2022-02-01,2022-04-05,Filled,Career Site
20,8,Mid SMB Sales Specialist,2022-03-12,2022-04-26,Filled,Employee Referral
21,7,Mid Enterprise Sales Specialist,2022-03-02,2022-04-07,Filled,Agency
22,14,Senior Facilities Specialist,2022-03-16,2022-04-27,Filled,LinkedIn
23,14,"Manager, Facilities",2022-03-11,2022-04-26,Filled,Job Board
24,9,"Director, Sales Development",2022-02-15,2022-04-10,Filled,Career Site
25,14,Senior Facilities Specialist,2022-03-27,2022-04-17,Filled,Job Board
26,18,"Lead, Talent Acquisition",2022-03-04,2022-04-23,Filled,LinkedIn
27,7,Senior Enterprise Sales Specialist,2022-04-05,2022-05-12,Filled,LinkedIn
28,12,Senior Support Specialist,2022-03-30,2022-05-23,Filled,Job Board
29,15,"Lead, IT",2022-04-15,2022-05-31,Filled,Job Board
30,6,Mid Product Design Specialist,2022-04-15,2022-05-18,Filled,LinkedIn
31,6,Mid Product Design Specialist,2022-03-12,2022-05-04,Filled,Career Site
32,11,"Manager, Brand Marketing",2022-03-31,2022-05-29,Filled,LinkedIn
33,9,Senior Sales Development Specialist,2022-04-28,2022-05-18,Filled,Career Site
34,5,"Director, Product Management",2022-04-30,2022-05-24,Filled,Career Site
35,8,Senior SMB Sales Specialist,2022-04-26,2022-05-21,Filled,LinkedIn
36,7,Junior Enterprise Sales Specialist,2022-04-07,2022-05-06,Filled,Job Board
37,9,Mid Sales Development Specialist,2022-03-31,2022-05-03,Filled,LinkedIn
38,8,"Manager, SMB Sales",2022-03-29,2022-05-09,Filled,Job Board
39,3,Junior Platform Specialist,2022-04-08,2022-05-10,Filled,LinkedIn
40,4,"Director, QA",2022-04-02,2022-05-24,Filled,Agency
41,12,"Manager, Support",2022-03-27,2022-05-20,Filled,LinkedIn
42,9,Mid Sales Development Specialist,2022-03-17,2022-05-06,Filled,Employee Referral
43,4,Mid QA Specialist,2022-04-01,2022-05-14,Filled,LinkedIn
44,18,"Director, Talent Acquisition",2022-05-08,2022-06-03,Filled,Job Board
45,19,Mid HR Business Partners Specialist,2022-05-18,2022-06-13,Filled,Job Board
46,5,Mid Product Management Specialist,2022-05-12,2022-06-18,Filled,Employee Referral
47,8,Mid SMB Sales Specialist,2022-04-09,2022-06-08,Filled,Employee Referral
48,6,Senior Product Design Specialist,2022-05-15,2022-06-04,Filled,Employee Referral
49,6,"Lead, Product Design",2022-04-25,2022-06-28,Filled,Employee Referral
50,7,"Director, Enterprise Sales",2022-04-11,2022-06-05,Filled,Agency
