termination_id,employee_id,termination_date,voluntary,reason,exit_survey_score
1,85,2022-02-13,False,Role Eliminated,2.7
2,74,2022-03-08,False,Restructuring,
3,57,2022-04-27,True,Career Change,
4,56,2022-05-19,True,Return to Study,2.5
5,99,2022-06-11,True,Relocation,
6,5,2022-06-09,True,Return to Study,3.5
7,193,2022-07-10,True,Relocation,9.2
8,38,2022-07-23,True,Better Opportunity,
9,1,2022-08-02,True,Return to Study,
10,114,2022-08-16,False,Restructuring,2.8
11,104,2022-09-16,True,Relocation,
12,132,2022-09-19,True,Career Change,8.7
13,218,2022-10-16,False,Restructuring,8.0
14,246,2022-10-25,False,Role Eliminated,3.0
15,7,2022-11-10,False,Role Eliminated,9.3
16,143,2022-11-23,True,Career Change,6.5
17,159,2022-12-20,True,Relocation,2.2
18,24,2022-12-23,False,Performance,6.5
19,15,2023-01-10,True,Relocation,5.2
20,14,2023-01-10,True,Better Opportunity,
21,134,2023-01-27,False,Role Eliminated,6.3
22,280,2023-02-28,True,Career Change,
23,108,2023-02-15,True,Better Opportunity,4.7
24,215,2023-02-14,True,Relocation,7.7
25,37,2023-03-17,True,Return to Study,3.1
26,174,2023-03-28,True,Career Change,
27,41,2023-03-21,True,Return to Study,4.2
28,83,2023-04-13,True,Better Opportunity,3.6
29,261,2023-04-08,True,Career Change,
30,299,2023-04-26,False,Restructuring,
31,197,2023-05-14,True,Return to Study,
32,179,2023-05-04,True,Career Change,
33,243,2023-05-08,True,Better Opportunity,2.0
34,90,2023-06-13,True,Return to Study,
35,69,2023-06-19,True,Career Change,4.4
36,79,2023-06-06,False,Restructuring,5.2
37,392,2023-06-14,True,Career Change,9.1
38,150,2023-06-13,True,Return to Study,5.7
39,322,2023-07-07,True,Better Opportunity,6.6
40,189,2023-07-31,True,Relocation,7.9
41,158,2023-07-28,True,Relocation,
42,93,2023-07-28,True,Better Opportunity,6.9
43,117,2023-07-22,True,Return to Study,2.3
44,328,2023-08-22,False,Role Eliminated,6.8
45,8,2023-08-08,True,Return to Study,
46,139,2023-08-22,True,Return to Study,8.1
47,422,2023-08-16,True,Relocation,
48,58,2023-08-31,True,Relocation,2.5
49,416,2023-09-30,False,Restructuring,6.6
50,230,2023-09-19,True,Relocation,7.1
51,462,2023-09-20,False,Restructuring,3.9
52,281,2023-09-07,False,Role Eliminated,
53,406,2023-10-03,True,Better Opportunity,
54,388,2023-10-13,False,Performance,
55,319,2023-10-12,True,Return to Study,9.2
56,473,2023-10-29,False,Restructuring,
57,342,2023-11-06,True,Return to Study,
58,329,2023-11-12,True,Return to Study,7.9
59,120,2023-11-19,True,Better Opportunity,3.1
60,87,2023-11-24,True,Better Opportunity,5.8
61,297,2023-12-13,False,Role Eliminated,6.2
62,407,2023-12-20,True,Relocation,2.7
63,300,2023-12-11,True,Better Opportunity,4.0
64,173,2023-12-28,True,Relocation,8.8
65,496,2024-01-07,False,Restructuring,3.8
66,471,2024-01-25,True,Career Change,
67,28,2024-01-28,True,Relocation,3.7
68,6,2024-01-22,False,Restructuring,
69,533,2024-01-29,True,Better Opportunity,9.3
70,165,2024-02-06,False,Restructuring,5.0
71,95,2024-02-12,False,Role Eliminated,6.8
72,385,2024-02-05,True,Career Change,
73,497,2024-02-28,True,Relocation,8.8
74,354,2024-02-04,True,Relocation,7.1
75,270,2024-03-24,True,Relocation,
76,512,2024-03-26,True,Better Opportunity,
77,295,2024-03-18,True,Relocation,
78,399,2024-03-21,True,Relocation,
79,258,2024-03-11,True,Career Change,2.9
80,584,2024-04-20,False,Role Eliminated,6.7
81,493,2024-04-05,True,Career Change,
82,115,2024-04-22,True,Return to Study,3.5
83,419,2024-04-26,True,Relocation,
84,353,2024-04-15,False,Performance,
85,372,2024-05-26,True,Career Change,8.2
86,273,2024-05-06,True,Better Opportunity,6.7
87,49,2024-05-07,True,Return to Study,4.9
88,68,2024-05-16,True,Return to Study,6.9
89,77,2024-05-30,False,Performance,4.5
90,306,2024-05-13,False,Restructuring,
91,557,2024-06-24,False,Role Eliminated,7.8
92,561,2024-06-24,True,Better Opportunity,6.1
93,426,2024-06-10,True,Better Opportunity,
94,654,2024-06-14,True,Career Change,2.3
95,33,2024-06-30,True,Career Change,
96,323,2024-06-14,True,Better Opportunity,
97,316,2024-06-15,True,Better Opportunity,2.6
98,130,2024-06-22,True,Career Change,
99,43,2024-07-05,True,Better Opportunity,
100,435,2024-07-06,True,Return to Study,
101,683,2024-07-15,True,Career Change,2.8
102,248,2024-07-13,True,Return to Study,8.5
103,574,2024-07-12,False,Restructuring,
104,414,2024-07-09,False,Role Eliminated,3.0
105,411,2024-07-10,False,Role Eliminated,4.1
106,428,2024-07-08,True,Better Opportunity,6.7
107,530,2024-08-05,True,Better Opportunity,
108,542,2024-08-27,True,Better Opportunity,5.0
109,627,2024-08-22,False,Role Eliminated,
110,513,2024-08-29,False,Restructuring,
111,103,2024-08-10,True,Career Change,5.6
112,276,2024-08-04,True,Relocation,
113,697,2024-08-22,True,Career Change,
114,113,2024-08-09,True,Return to Study,7.6
115,326,2024-09-21,False,Performance,
116,547,2024-09-01,False,Restructuring,
117,485,2024-09-23,True,Career Change,5.1
118,606,2024-09-10,False,Performance,9.4
119,257,2024-09-23,True,Return to Study,6.4
120,127,2024-09-12,True,Better Opportunity,5.8
121,380,2024-10-01,True,Career Change,7.9
122,137,2024-10-26,True,Career Change,9.1
123,734,2024-10-12,False,Role Eliminated,
124,626,2024-10-09,True,Return to Study,5.7
125,283,2024-10-12,True,Career Change,
126,296,2024-10-09,True,Better Opportunity,6.9
127,687,2024-10-18,True,Return to Study,8.6
128,599,2024-11-17,True,Career Change,4.6
129,621,2024-11-10,True,Career Change,
130,490,2024-11-15,True,Career Change,8.5
131,676,2024-11-12,False,Restructuring,8.3
132,727,2024-11-26,False,Restructuring,6.5
133,623,2024-11-12,False,Performance,
134,525,2024-11-02,True,Career Change,
135,92,2024-12-31,True,Better Opportunity,7.8
136,19,2024-12-22,True,Return to Study,
137,312,2024-12-26,True,Return to Study,
138,710,2024-12-27,True,Better Opportunity,9.3
139,456,2024-12-06,False,Role Eliminated,8.7
140,610,2024-12-26,True,Career Change,
141,102,2024-12-05,False,Role Eliminated,9.0
142,792,2025-01-28,False,Role Eliminated,6.3
143,502,2025-01-26,True,Relocation,8.4
144,309,2025-01-01,True,Relocation,5.1
145,81,2025-01-29,True,Relocation,6.9
146,585,2025-01-24,True,Return to Study,
147,431,2025-01-10,True,Career Change,6.1
148,587,2025-01-26,True,Relocation,3.5
149,699,2025-02-17,True,Return to Study,4.1
150,666,2025-02-09,False,Restructuring,
151,331,2025-02-09,True,Relocation,
152,746,2025-02-23,False,Restructuring,
153,9,2025-02-23,True,Return to Study,5.4
154,833,2025-02-03,False,Role Eliminated,4.8
155,348,2025-02-17,True,Better Opportunity,4.1
156,529,2025-03-21,True,Better Opportunity,
157,256,2025-03-03,True,Career Change,7.3
158,441,2025-03-05,True,Relocation,8.1
159,199,2025-03-16,True,Career Change,2.2
160,715,2025-03-05,True,Better Opportunity,7.5
161,860,2025-03-28,True,Better Opportunity,
162,394,2025-03-29,False,Performance,
163,65,2025-04-06,True,Better Opportunity,7.3
164,866,2025-04-22,False,Role Eliminated,6.3
165,344,2025-04-16,True,Relocation,
166,845,2025-04-22,False,Role Eliminated,5.4
167,239,2025-04-21,False,Performance,6.6
168,696,2025-04-10,True,Return to Study,7.6
169,562,2025-04-25,True,Return to Study,8.6
